label_1,mm_x_1,mm_y_1,row,col,xu_1,yu_1,image_path_1,label_2,mm_x_2,mm_y_2,xu_2,yu_2,image_path_2,_merge,dx_px,dy_px,err_px
P21_-22.840_25.680,-22.84,25.68,1,5,886.7530790504665,692.2725725352608,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P21_-22.840_25.680.png,P21_-22.840_25.680,-22.84,25.68,885.1427561453122,690.4937205423827,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P21_-22.840_25.680.png,both,-1.6103229051542485,-1.778851992878117,2.399469581268091
P22_-11.420_25.680,-11.42,25.68,1,6,956.341776981022,694.1517701811246,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P22_-11.420_25.680.png,P22_-11.420_25.680,-11.42,25.68,955.0569058002432,692.6221043414688,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P22_-11.420_25.680.png,both,-1.2848711807788504,-1.5296658396557632,1.9976915508170445
P23_0.000_25.680,0.0,25.68,1,7,1028.4226442041447,693.7487976915678,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P23_0.000_25.680.png,P23_0.000_25.680,0.0,25.68,1026.8550464474015,692.5549878650933,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P23_0.000_25.680.png,both,-1.5675977567432255,-1.193809826474535,1.9704173742467743
P24_11.420_25.680,11.42,25.68,1,8,1098.4244670808762,695.4226613558396,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P24_11.420_25.680.png,P24_11.420_25.680,11.42,25.68,1096.1373668938852,694.0180495177227,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P24_11.420_25.680.png,both,-2.2871001869909833,-1.4046118381169208,2.683982429359847
P25_22.840_25.680,22.84,25.68,1,9,1171.1501472408347,695.0203405744527,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P25_22.840_25.680.png,P25_22.840_25.680,22.84,25.68,1168.819409118708,693.3663086780332,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P25_22.840_25.680.png,both,-2.330738122126604,-1.6540318964194967,2.8579995990740317
P26_34.260_25.680,34.26,25.68,1,10,1240.288294741188,696.7143951881543,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P26_34.260_25.680.png,P26_34.260_25.680,34.26,25.68,1237.9400235373234,695.020770006725,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P26_34.260_25.680.png,both,-2.3482712038646696,-1.6936251814292973,2.895296859058056
P27_45.680_25.680,45.68,25.68,1,11,1305.7544303575294,700.7333945694845,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P27_45.680_25.680.png,P27_45.680_25.680,45.68,25.68,1304.2078468830307,698.9490992869178,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P27_45.680_25.680.png,both,-1.546583474498675,-1.7842952825667453,2.3612772177324577
P28_57.100_25.680,57.1,25.68,1,12,1372.1233212916748,702.3908912359399,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P28_57.100_25.680.png,P28_57.100_25.680,57.1,25.68,1370.0913959099005,700.5729746792631,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P28_57.100_25.680.png,both,-2.031925381774272,-1.8179165566767779,2.7264521569501405
P29_68.520_25.680,68.52,25.68,1,13,1434.573209237594,705.1750706736833,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P29_68.520_25.680.png,P29_68.520_25.680,68.52,25.68,1432.6390025749745,703.666899973845,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P29_68.520_25.680.png,both,-1.9342066626195447,-1.5081706998382742,2.452699385080142
P30_79.940_25.680,79.94,25.68,1,14,1494.1399741659325,707.8023964070109,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P30_79.940_25.680.png,P30_79.940_25.680,79.94,25.68,1492.4631346695496,706.6269427531714,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P30_79.940_25.680.png,both,-1.6768394963828541,-1.1754536538394404,2.047799303875747
P31_-79.940_21.400,-79.94,21.4,2,0,565.9538559305785,749.3562017563562,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P31_-79.940_21.400.png,P31_-79.940_21.400,-79.94,21.4,564.4981492249744,747.9152375414417,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P31_-79.940_21.400.png,both,-1.4557067056040296,-1.4409642149145157,2.048282178169
P32_-68.520_21.400,-68.52,21.4,2,1,623.3639971327357,748.532957957178,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P32_-68.520_21.400.png,P32_-68.520_21.400,-68.52,21.4,622.0571513297119,746.6895901009584,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P32_-68.520_21.400.png,both,-1.306845803023748,-1.8433678562196292,2.2596130213433754
P33_-57.100_21.400,-57.1,21.4,2,2,684.9534769451551,747.3496755475136,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P33_-57.100_21.400.png,P33_-57.100_21.400,-57.1,21.4,683.1204175339142,745.6759405495299,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P33_-57.100_21.400.png,both,-1.8330594112409244,-1.673734997983729,2.4822360179109717
P34_-45.680_21.400,-45.68,21.4,2,3,749.0454449536353,746.1639267242924,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P34_-45.680_21.400.png,P34_-45.680_21.400,-45.68,21.4,747.7031069195803,744.4918900986931,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P34_-45.680_21.400.png,both,-1.3423380340550466,-1.6720366255992758,2.1441963238043713
P35_-34.260_21.400,-34.26,21.4,2,4,816.0168929061804,745.498560900528,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P35_-34.260_21.400.png,P35_-34.260_21.400,-34.26,21.4,814.4833260380886,743.7306830574742,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P35_-34.260_21.400.png,both,-1.5335668680917252,-1.7678778430538387,2.340346001528269
P36_-22.840_21.400,-22.84,21.4,2,5,885.558519492148,745.7751027412986,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P36_-22.840_21.400.png,P36_-22.840_21.400,-22.84,21.4,883.6362351813494,744.0094944030673,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P36_-22.840_21.400.png,both,-1.9222843107985454,-1.7656083382313454,2.6100861624809037
P37_-11.420_21.400,-11.42,21.4,2,6,955.8783631055786,747.2799709266337,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P37_-11.420_21.400.png,P37_-11.420_21.400,-11.42,21.4,954.5147643468712,745.3625751182913,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P37_-11.420_21.400.png,both,-1.3635987587074396,-1.9173958083424623,2.352829840978245
P38_0.000_21.400,0.0,21.4,2,7,1027.368696075312,746.8892159982033,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P38_0.000_21.400.png,P38_0.000_21.400,0.0,21.4,1025.5960770661943,745.1792053860389,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P38_0.000_21.400.png,both,-1.7726190091177614,-1.7100106121644103,2.4629889251071626
P39_11.420_21.400,11.42,21.4,2,8,1098.4724246591254,749.3897754480361,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P39_11.420_21.400.png,P39_11.420_21.400,11.42,21.4,1097.1299926105935,747.3406325941387,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P39_11.420_21.400.png,both,-1.3424320485319186,-2.049142853897365,2.4497163592147237
P40_22.840_21.400,22.84,21.4,2,9,1171.744193308038,747.3870036909586,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P40_22.840_21.400.png,P40_22.840_21.400,22.84,21.4,1169.6622984384824,745.7648059572155,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P40_22.840_21.400.png,both,-2.0818948695555264,-1.622197733743178,2.6392824280935008
P41_34.260_21.400,34.26,21.4,2,10,1241.748109942591,750.0165491181676,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P41_34.260_21.400.png,P41_34.260_21.400,34.26,21.4,1239.452285719651,748.2040502077683,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P41_34.260_21.400.png,both,-2.295824222940155,-1.812498910399313,2.9250574631684523
P42_45.680_21.400,45.68,21.4,2,11,1307.4591288679442,753.2809435531377,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P42_45.680_21.400.png,P42_45.680_21.400,45.68,21.4,1305.6786727309805,751.4557165015666,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P42_45.680_21.400.png,both,-1.7804561369637213,-1.8252270515711189,2.5497995696600895
P43_57.100_21.400,57.1,21.4,2,12,1374.0245484968082,754.9104359529309,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P43_57.100_21.400.png,P43_57.100_21.400,57.1,21.4,1372.081766466795,753.1620813775764,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P43_57.100_21.400.png,both,-1.942782030013177,-1.7483545753544831,2.61364606198029
P44_68.520_21.400,68.52,21.4,2,13,1436.9831075014283,757.3669904497592,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P44_68.520_21.400.png,P44_68.520_21.400,68.52,21.4,1435.2516098126157,755.7367371493505,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P44_68.520_21.400.png,both,-1.731497688812624,-1.6302533004087536,2.378194708146726
P45_79.940_21.400,79.94,21.4,2,14,1497.397586974481,760.0516167156233,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P45_79.940_21.400.png,P45_79.940_21.400,79.94,21.4,1495.5702153818131,758.1287130215685,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P45_79.940_21.400.png,both,-1.827371592667987,-1.922903694054753,2.6527053274533436
P46_-79.940_17.120,-79.94,17.12,3,0,563.0888752481454,801.7957240622715,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P46_-79.940_17.120.png,P46_-79.940_17.120,-79.94,17.12,561.9941813663042,799.716371892365,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P46_-79.940_17.120.png,both,-1.0946938818411809,-2.0793521699064286,2.3499064112077073
P47_-68.520_17.120,-68.52,17.12,3,1,621.2698130778315,800.9778131930377,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P47_-68.520_17.120.png,P47_-68.520_17.120,-68.52,17.12,619.3421472686418,798.8073806220301,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P47_-68.520_17.120.png,both,-1.927665809189648,-2.170432571007609,2.9028732347812713
P48_-57.100_17.120,-57.1,17.12,3,2,682.1487570607201,800.6390719835678,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P48_-57.100_17.120.png,P48_-57.100_17.120,-57.1,17.12,681.686240726216,798.4878621115297,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P48_-57.100_17.120.png,both,-0.4625163345040164,-2.1512098720380664,2.2003693492768583
