label,mm_x,mm_y,row,col,xu,yu,image_path
P109_-45.680_0.000,-45.68,0.0,7,3,742.5570699854615,1022.2846104677395,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P109_-45.680_0.000.png
P110_-34.260_0.000,-34.26,0.0,7,4,810.3839667502901,1022.4630321638522,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P110_-34.260_0.000.png
P111_-22.840_0.000,-22.84,0.0,7,5,879.6823739730038,1024.0922692645493,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P111_-22.840_0.000.png
P112_-11.420_0.000,-11.42,0.0,7,6,952.2971441984196,1025.7241956376217,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P112_-11.420_0.000.png
P113_0.000_0.000,0.0,0.0,7,7,1024.3571976705448,1028.979874168318,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P113_0.000_0.000.png
P114_11.420_0.000,11.42,0.0,7,8,1099.1765660108338,1028.1459571202274,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P114_11.420_0.000.png
P115_22.840_0.000,22.84,0.0,7,9,1169.8541208115369,1028.656201130759,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P115_22.840_0.000.png
P116_34.260_0.000,34.26,0.0,7,10,1238.4779750144473,1029.1350060966201,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P116_34.260_0.000.png
P117_45.680_0.000,45.68,0.0,7,11,1307.9807946787207,1030.4882718724018,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P117_45.680_0.000.png
P118_57.100_0.000,57.1,0.0,7,12,1375.6345427752403,1030.111599058644,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P118_57.100_0.000.png
P119_68.520_0.000,68.52,0.0,7,13,1438.376797773081,1029.6699572142893,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P119_68.520_0.000.png
P120_79.940_0.000,79.94,0.0,7,14,1498.8448567976402,1030.0358360277291,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P120_79.940_0.000.png
P121_-79.940_-4.280,-79.94,-4.28,8,0,559.3621260259465,1070.863244953793,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P121_-79.940_-4.280.png
P122_-68.520_-4.280,-68.52,-4.28,8,1,616.4683153737313,1072.8788023891732,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P122_-68.520_-4.280.png
P123_-57.100_-4.280,-57.1,-4.28,8,2,678.5071202499612,1076.0087850833092,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P123_-57.100_-4.280.png
P124_-45.680_-4.280,-45.68,-4.28,8,3,742.6285642038339,1076.9883400764218,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P124_-45.680_-4.280.png
P125_-34.260_-4.280,-34.26,-4.28,8,4,810.6036775603847,1078.451181299531,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P125_-34.260_-4.280.png
P126_-22.840_-4.280,-22.84,-4.28,8,5,879.4374008065269,1080.6008192783156,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_11-45-14\P126_-22.840_-4.280.png
