label,mm_x,mm_y,row,col,xu,yu,image_path
P76_-79.940_8.560,-79.94,8.56,5,0,557.8817410829016,907.1090205732372,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P76_-79.940_8.560.png
P77_-68.520_8.560,-68.52,8.56,5,1,616.1139265331739,906.9656690658769,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P77_-68.520_8.560.png
P78_-57.100_8.560,-57.1,8.56,5,2,678.1245952106586,907.3464996761685,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P78_-57.100_8.560.png
P79_-45.680_8.560,-45.68,8.56,5,3,743.1163408779149,908.1384602194787,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P79_-45.680_8.560.png
P80_-34.260_8.560,-34.26,8.56,5,4,811.0134084269494,908.6083426196428,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P80_-34.260_8.560.png
P81_-22.840_8.560,-22.84,8.56,5,5,880.4558308632382,909.4929158632863,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P81_-22.840_8.560.png
P82_-11.420_8.560,-11.42,8.56,5,6,952.1245367115347,910.056518806728,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P82_-11.420_8.560.png
P83_0.000_8.560,0.0,8.56,5,7,1026.7657739634983,911.0572008387549,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P83_0.000_8.560.png
P84_11.420_8.560,11.42,8.56,5,8,1098.837242616422,911.8940521447198,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P84_11.420_8.560.png
P85_22.840_8.560,22.84,8.56,5,9,1170.768017296458,912.9062644739756,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P85_22.840_8.560.png
P86_34.260_8.560,34.26,8.56,5,10,1240.0796661067188,915.0113697537311,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P86_34.260_8.560.png
P87_45.680_8.560,45.68,8.56,5,11,1308.2283342826918,916.4710484405333,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P87_45.680_8.560.png
P88_57.100_8.560,57.1,8.56,5,12,1375.1642799834674,916.9180180399212,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P88_57.100_8.560.png
P89_68.520_8.560,68.52,8.56,5,13,1439.351696744668,917.9647698817028,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P89_68.520_8.560.png
P90_79.940_8.560,79.94,8.56,5,14,1500.037258128704,920.0256633646327,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P90_79.940_8.560.png
P91_-79.940_4.280,-79.94,4.28,6,0,558.6291405930718,962.7325390435959,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P91_-79.940_4.280.png
P92_-68.520_4.280,-68.52,4.28,6,1,616.1687304229537,963.0584259607296,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P92_-68.520_4.280.png
P93_-57.100_4.280,-57.1,4.28,6,2,676.6273452230087,963.9069792600377,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P93_-57.100_4.280.png
P94_-45.680_4.280,-45.68,4.28,6,3,741.3558325011286,965.2037921175393,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P94_-45.680_4.280.png
P95_-34.260_4.280,-34.26,4.28,6,4,810.6234879937845,965.6337970718916,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P95_-34.260_4.280.png
P96_-22.840_4.280,-22.84,4.28,6,5,879.9020671502857,966.7343840277332,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P96_-22.840_4.280.png
P97_-11.420_4.280,-11.42,4.28,6,6,953.8612015930265,967.4331012638187,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P97_-11.420_4.280.png
P98_0.000_4.280,0.0,4.28,6,7,1026.7965011538156,967.7439012227792,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P98_0.000_4.280.png
P99_11.420_4.280,11.42,4.28,6,8,1100.973444123613,968.8097386749943,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P99_11.420_4.280.png
P100_22.840_4.280,22.84,4.28,6,9,1171.0247828728463,969.9228610732488,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P100_22.840_4.280.png
P101_34.260_4.280,34.26,4.28,6,10,1240.9043349814667,971.5290231064381,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P101_34.260_4.280.png
P102_45.680_4.280,45.68,4.28,6,11,1309.3216765970526,972.1430082814773,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P102_45.680_4.280.png
P103_57.100_4.280,57.1,4.28,6,12,1376.2039295071868,972.8354129570828,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P103_57.100_4.280.png
P104_68.520_4.280,68.52,4.28,6,13,1437.9815265211705,974.0571391510199,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P104_68.520_4.280.png
P105_79.940_4.280,79.94,4.28,6,14,1499.7566545981174,974.9109389331402,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P105_79.940_4.280.png
P106_-79.940_0.000,-79.94,0.0,7,0,557.5495646202846,1015.5617201881776,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P106_-79.940_0.000.png
P107_-68.520_0.000,-68.52,0.0,7,1,615.0685141446021,1018.6121020214847,C:\Users\Moon\Desktop\OPTİK KISIM\Gimbal\kods\GZGSG-Distortion-Measurement\olcum_15x15_tarih_2026-08-07_09-57-14\P107_-68.520_0.000.png
